"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US1330559","ZCTA5 30559, Georgia","4333"
"8710000US1330560","ZCTA5 30560, Georgia","4599"
"8710000US1330562","ZCTA5 30562, Georgia","1128"
"8710000US1330563","ZCTA5 30563, Georgia","5373"
"8710000US1330564","ZCTA5 30564, Georgia","4463"
"8710000US1330565","ZCTA5 30565, Georgia","4758"
"8710000US1330566","ZCTA5 30566, Georgia","7906"
"8710000US1330567","ZCTA5 30567, Georgia","2981"
"8710000US1330568","ZCTA5 30568, Georgia","1877"
"8710000US1330571","ZCTA5 30571, Georgia","3682"
"8710000US1330572","ZCTA5 30572, Georgia","1260"
"8710000US1330573","ZCTA5 30573, Georgia","163"
"8710000US1330575","ZCTA5 30575, Georgia","1375"
"8710000US1330576","ZCTA5 30576, Georgia","2521"
"8710000US1330577","ZCTA5 30577, Georgia","22230"
"8710000US1330581","ZCTA5 30581, Georgia","73"
"8710000US1330582","ZCTA5 30582, Georgia","4567"
"8710000US1330601","ZCTA5 30601, Georgia","20835"
"8710000US1330602","ZCTA5 30602, Georgia","2409"
"8710000US1330605","ZCTA5 30605, Georgia","39952"
"8710000US1330606","ZCTA5 30606, Georgia","40225"
"8710000US1330607","ZCTA5 30607, Georgia","10895"
"8710000US1330609","ZCTA5 30609, Georgia","1956"
"8710000US1330619","ZCTA5 30619, Georgia","1440"
"8710000US1330620","ZCTA5 30620, Georgia","12486"
"8710000US1330621","ZCTA5 30621, Georgia","5109"
"8710000US1330622","ZCTA5 30622, Georgia","10344"
"8710000US1330623","ZCTA5 30623, Georgia","154"
"8710000US1330624","ZCTA5 30624, Georgia","2611"
"8710000US1330625","ZCTA5 30625, Georgia","2438"
"8710000US1330627","ZCTA5 30627, Georgia","2273"
"8710000US1330628","ZCTA5 30628, Georgia","6556"
"8710000US1330629","ZCTA5 30629, Georgia","4531"
"8710000US1330630","ZCTA5 30630, Georgia","2438"
"8710000US1330631","ZCTA5 30631, Georgia","1767"
"8710000US1330633","ZCTA5 30633, Georgia","8474"
"8710000US1330634","ZCTA5 30634, Georgia","2281"
"8710000US1330635","ZCTA5 30635, Georgia","16109"
"8710000US1330641","ZCTA5 30641, Georgia","1810"
"8710000US1330642","ZCTA5 30642, Georgia","11001"
"8710000US1330643","ZCTA5 30643, Georgia","16382"
"8710000US1330646","ZCTA5 30646, Georgia","6946"
"8710000US1330648","ZCTA5 30648, Georgia","2988"
"8710000US1330650","ZCTA5 30650, Georgia","11708"
"8710000US1330655","ZCTA5 30655, Georgia","24136"
"8710000US1330656","ZCTA5 30656, Georgia","15133"
"8710000US1330660","ZCTA5 30660, Georgia","1191"
"8710000US1330662","ZCTA5 30662, Georgia","8537"
"8710000US1330663","ZCTA5 30663, Georgia","3032"
"8710000US1330664","ZCTA5 30664, Georgia","38"
"8710000US1330665","ZCTA5 30665, Georgia","80"
"8710000US1330666","ZCTA5 30666, Georgia","8659"
"8710000US1330667","ZCTA5 30667, Georgia","1035"
"8710000US1330668","ZCTA5 30668, Georgia","1924"
"8710000US1330669","ZCTA5 30669, Georgia","3313"
"8710000US1330673","ZCTA5 30673, Georgia","7897"
"8710000US1330677","ZCTA5 30677, Georgia","17065"
"8710000US1330678","ZCTA5 30678, Georgia","1294"
"8710000US1330680","ZCTA5 30680, Georgia","37837"
"8710000US1330683","ZCTA5 30683, Georgia","6749"
"8710000US1330701","ZCTA5 30701, Georgia","40053"
"8710000US1330705","ZCTA5 30705, Georgia","33566"
"8710000US1330707","ZCTA5 30707, Georgia","16483"
"8710000US1330708","ZCTA5 30708, Georgia","293"
"8710000US1330710","ZCTA5 30710, Georgia","6661"
"8710000US1330711","ZCTA5 30711, Georgia","3569"
"8710000US1330720","ZCTA5 30720, Georgia","26895"
"8710000US1330721","ZCTA5 30721, Georgia","53601"
"8710000US1330725","ZCTA5 30725, Georgia","4647"
"8710000US1330726","ZCTA5 30726, Georgia","56"
"8710000US1330728","ZCTA5 30728, Georgia","19612"
"8710000US1330730","ZCTA5 30730, Georgia","1993"
"8710000US1330731","ZCTA5 30731, Georgia","2428"
"8710000US1330733","ZCTA5 30733, Georgia","2080"
"8710000US1330734","ZCTA5 30734, Georgia","3466"
"8710000US1330735","ZCTA5 30735, Georgia","6153"
"8710000US1330736","ZCTA5 30736, Georgia","41029"
"8710000US1330738","ZCTA5 30738, Georgia","3799"
"8710000US1330739","ZCTA5 30739, Georgia","5571"
"8710000US1330740","ZCTA5 30740, Georgia","8600"
"8710000US1330741","ZCTA5 30741, Georgia","29290"
"8710000US1330742","ZCTA5 30742, Georgia","7460"
"8710000US1330746","ZCTA5 30746, Georgia","1223"
"8710000US1330747","ZCTA5 30747, Georgia","16859"
"8710000US1330750","ZCTA5 30750, Georgia","4125"
"8710000US1330751","ZCTA5 30751, Georgia","91"
"8710000US1330752","ZCTA5 30752, Georgia","9800"
"8710000US1330753","ZCTA5 30753, Georgia","6697"
"8710000US1330755","ZCTA5 30755, Georgia","9590"
"8710000US1330756","ZCTA5 30756, Georgia","74"
"8710000US1330757","ZCTA5 30757, Georgia","1787"
"8710000US1330802","ZCTA5 30802, Georgia","6321"
"8710000US1330803","ZCTA5 30803, Georgia","741"
"8710000US1330805","ZCTA5 30805, Georgia","2734"
"8710000US1330807","ZCTA5 30807, Georgia","92"
"8710000US1330808","ZCTA5 30808, Georgia","4615"
"8710000US1330809","ZCTA5 30809, Georgia","38168"
"8710000US1330810","ZCTA5 30810, Georgia","2138"
"8710000US1330812","ZCTA5 30812, Georgia","363"
"8710000US1330813","ZCTA5 30813, Georgia","30415"
"8710000US1330814","ZCTA5 30814, Georgia","8150"
"8710000US1330815","ZCTA5 30815, Georgia","39640"
"8710000US1330816","ZCTA5 30816, Georgia","2109"
"8710000US1330817","ZCTA5 30817, Georgia","7676"
"8710000US1330818","ZCTA5 30818, Georgia","555"
"8710000US1330820","ZCTA5 30820, Georgia","1205"
"8710000US1330821","ZCTA5 30821, Georgia","882"
"8710000US1330822","ZCTA5 30822, Georgia","526"
"8710000US1330823","ZCTA5 30823, Georgia","1800"
"8710000US1330824","ZCTA5 30824, Georgia","17201"
"8710000US1330828","ZCTA5 30828, Georgia","4368"
"8710000US1330830","ZCTA5 30830, Georgia","13966"
"8710000US1330833","ZCTA5 30833, Georgia","4043"
"8710000US1330901","ZCTA5 30901, Georgia","16445"
"8710000US1330903","ZCTA5 30903, Georgia","585"
"8710000US1330904","ZCTA5 30904, Georgia","25666"
"8710000US1330905","ZCTA5 30905, Georgia","8955"
"8710000US1330906","ZCTA5 30906, Georgia","57748"
"8710000US1330907","ZCTA5 30907, Georgia","50913"
"8710000US1330909","ZCTA5 30909, Georgia","41585"
"8710000US1330912","ZCTA5 30912, Georgia","296"
"8710000US1331001","ZCTA5 31001, Georgia","4816"
"8710000US1331002","ZCTA5 31002, Georgia","2910"
"8710000US1331003","ZCTA5 31003, Georgia","112"
"8710000US1331005","ZCTA5 31005, Georgia","15102"
"8710000US1331006","ZCTA5 31006, Georgia","4923"
"8710000US1331007","ZCTA5 31007, Georgia","1117"
"8710000US1331008","ZCTA5 31008, Georgia","18453"
"8710000US1331009","ZCTA5 31009, Georgia","1477"
"8710000US1331011","ZCTA5 31011, Georgia","923"
"8710000US1331012","ZCTA5 31012, Georgia","2683"
"8710000US1331014","ZCTA5 31014, Georgia","13756"
"8710000US1331015","ZCTA5 31015, Georgia","21938"
"8710000US1331016","ZCTA5 31016, Georgia","1517"
"8710000US1331017","ZCTA5 31017, Georgia","1985"
"8710000US1331018","ZCTA5 31018, Georgia","2837"
"8710000US1331019","ZCTA5 31019, Georgia","2318"
"8710000US1331020","ZCTA5 31020, Georgia","2541"
"8710000US1331021","ZCTA5 31021, Georgia","28549"
"8710000US1331022","ZCTA5 31022, Georgia","1424"
"8710000US1331023","ZCTA5 31023, Georgia","15383"
"8710000US1331024","ZCTA5 31024, Georgia","20039"
"8710000US1331025","ZCTA5 31025, Georgia","1226"
"8710000US1331027","ZCTA5 31027, Georgia","10012"
"8710000US1331028","ZCTA5 31028, Georgia","5912"
"8710000US1331029","ZCTA5 31029, Georgia","16287"
"8710000US1331030","ZCTA5 31030, Georgia","18977"
"8710000US1331031","ZCTA5 31031, Georgia","6576"
"8710000US1331032","ZCTA5 31032, Georgia","13993"
"8710000US1331033","ZCTA5 31033, Georgia","2660"
"8710000US1331035","ZCTA5 31035, Georgia","1364"
"8710000US1331036","ZCTA5 31036, Georgia","12998"
"8710000US1331037","ZCTA5 31037, Georgia","4313"
"8710000US1331038","ZCTA5 31038, Georgia","761"
"8710000US1331039","ZCTA5 31039, Georgia","74"
"8710000US1331041","ZCTA5 31041, Georgia","988"
"8710000US1331042","ZCTA5 31042, Georgia","1841"
"8710000US1331044","ZCTA5 31044, Georgia","2911"
"8710000US1331045","ZCTA5 31045, Georgia","73"
"8710000US1331046","ZCTA5 31046, Georgia","3343"
"8710000US1331047","ZCTA5 31047, Georgia","11193"
"8710000US1331049","ZCTA5 31049, Georgia","1806"
"8710000US1331050","ZCTA5 31050, Georgia","965"
"8710000US1331051","ZCTA5 31051, Georgia","187"
"8710000US1331052","ZCTA5 31052, Georgia","8652"
"8710000US1331054","ZCTA5 31054, Georgia","1671"
"8710000US1331055","ZCTA5 31055, Georgia","8245"
"8710000US1331057","ZCTA5 31057, Georgia","2182"
"8710000US1331058","ZCTA5 31058, Georgia","2123"
"8710000US1331060","ZCTA5 31060, Georgia","1915"
"8710000US1331061","ZCTA5 31061, Georgia","43755"
"8710000US1331062","ZCTA5 31062, Georgia","495"
"8710000US1331063","ZCTA5 31063, Georgia","5666"
"8710000US1331064","ZCTA5 31064, Georgia","9450"
"8710000US1331065","ZCTA5 31065, Georgia","1118"
"8710000US1331066","ZCTA5 31066, Georgia","1147"
"8710000US1331067","ZCTA5 31067, Georgia","222"
"8710000US1331068","ZCTA5 31068, Georgia","5425"
"8710000US1331069","ZCTA5 31069, Georgia","18948"
"8710000US1331070","ZCTA5 31070, Georgia","998"
"8710000US1331071","ZCTA5 31071, Georgia","1199"
"8710000US1331072","ZCTA5 31072, Georgia","1326"
"8710000US1331075","ZCTA5 31075, Georgia","2496"
"8710000US1331076","ZCTA5 31076, Georgia","3064"
"8710000US1331077","ZCTA5 31077, Georgia","1275"
"8710000US1331078","ZCTA5 31078, Georgia","3566"
"8710000US1331079","ZCTA5 31079, Georgia","2398"
"8710000US1331081","ZCTA5 31081, Georgia","251"
"8710000US1331082","ZCTA5 31082, Georgia","10408"
"8710000US1331083","ZCTA5 31083, Georgia","362"
"8710000US1331084","ZCTA5 31084, Georgia","129"
"8710000US1331085","ZCTA5 31085, Georgia","1043"
"8710000US1331087","ZCTA5 31087, Georgia","9656"
"8710000US1331088","ZCTA5 31088, Georgia","50163"
"8710000US1331089","ZCTA5 31089, Georgia","4838"
"8710000US1331090","ZCTA5 31090, Georgia","1038"
"8710000US1331091","ZCTA5 31091, Georgia","5189"
